id,text
82,tse tshe phainn a bin ting u sann e tsiu u tsiu sa e sik tsui long bo kang 
83,tsi put ko tse kah lian bing lai te ki thann tong phai e i kian u sio khan lian 
84,tshin tshiunn tinn kueh puat po png ting ni tse tsiah mih long ah iong tsuh li lai tso 
85,tso tsit kua a sin the bo tiann e kah i e tai tsi phoo phoo thann thann tsiong i tsing gik khai sin the giap 
86,a san a tauh a me kue ah 
87,tsio gua tsit kha su li pa phah ka tsua 
88,li thau mng tshui tsiu peh lau khok khok ah iau koh siunn beh kah lang tshua sui boo 
89,sing beh ka ti khuann u to ai sing khi be tsit tsoo khah ho e tsit phinn iu siat pi 
90,tsin tsing kui kang gua kau tsing tshik e siah tiunn tu ho ma sia bun tsiunn ki tshut tsit tsiong tso huat u tsin tse hong hiam pau kuah bo huat koo ing hiong suh thai e kiat ko lai po tsing bi kok e li ik sim tsi i siong bue ma si tioh theh pat lang tshit kha tshang 
91,soo i gua be kah li ke kau 
92,phinn i hiong e sng tshoo sim liah thang hue e pang hoo tshoo tsong e u hit kang tsiong li pho si gua e bang 
93,ah beh siann poo 
94,an ne tso kam oo khe e 
95,an ne lah 
96,i sing jin iau koh u tsin tng e loo ai kiann 
97,gua kong li tsit e koo mng kau ah gua tua e leh kah li kong ue e li tsit ma si siann thai too ah 
98,u gua khiong poo to tshin tshiunn si gueh ji kau ti niauh e phi iah tai hak tsit tiunn ian suat kong e 
99,goo tiam ji a su tsoo 
100, leh tsiah pai tui 
101, long hoo se hong mui the khuann tso si sin tsing khuan an tui gua tsing tshik khah tok lip tsik kik e piau hian 
102, lau hiann ti ah pua bo to puah loh khi ah li m thang tua se siann 
103, tan si 
104, sat bak a tu liau kau tshi i gua a koh u siann mih tik sik 
105, i kiann kah bin siap te sut sut 
106, i ui tioh phio bang e king lian kong ong po tshuan kah sih ping kui sit thau tsit tshut tai uan lang hit be tua ki phinn tian iann 
107, tsai tiunn e hai inn a long si hua thai ko nua lo senn thau huat bue khue kha phuah siunn ua e ko tshih tshua khuann tioh uah beh khi ke bo hue 
108, i tshio gua bo nng pah e to huan hue ah 
109, sau u tit tshit tsap kau hue sin kok ong sa kin ni tsia gueh tsiah ting ki tse ui 
110, tiong kong m khennh hoo bi kok tshit ian kiu ke tse pe sam phu 
111, thng siunn tinn gua bo se ji tsiah tioh li e khoo 
112, sin tik tshi tsit ui goo hue tsa poo gin a in ui ui tng iam thak tshut tua tng phah khang king kue kin kip e tshiu sut tsiah kue bin 
113, si an tsuann in e tang khuann bian tsinn e gun be iong tsit lah 
114, a peh eh si gua 
115, kau gua tse e long tse tsiah khui 
116, m 
117, ho 
118, tng tang sin the huat tshut sin sit kong i i king siunn pa li suah kong m koh ke nng koh tsin sui it 
119, gua ko gua kue ah thau ke niu si tai pa ah e e i tso lang tsin ho 
120, e mih kiann kai ho tak bian gua ku to tau ue ho 
121, tsan leh kam moo a pai thok li the i tshing kah ah 
122, siunn khuann mai kong khuann mai inn be a kah iunn a tsha ti toh 
123, ting ki si kan kau ah tak ke kin khi hau ki sik tsun ti ting ki tsin tsing ai sing tshuan ho hoo tsiau kah ting ki tsing tsiau sun si pai tui kiam tsa liau tsiah lai ting ki 
124, a an pi a huat ke kai khiam 
125, lin na koh kiam i sann tsap hue a gua tsia phah hoo li tsiah 
126, lan hun sann tsiong tsing hing lai pho lun 
127, tioh a thai e u kho ling tsiah bian tsinn lah 
128, li e phue hu kong khi lai be su na a gi na a leh 
129, kong bo nng ku to beh khi kha tang tshiu ah 
130, tshiann li ti tsit siann liau au khai si lau ue to sia a 
131, lin kiam bo kong iau u si ge jit tsiu siu kua e si kau ma ah gua ka lin kong giah ba khuann hng i king sik thang kua lah 
132, bo lun tian si iah tian tai tak ke e siann siann ku ku kam sia ui tai e bu tshin tak ke long su iau 
133, ui tsit e kak too khuann tsu tong gi su tah phue thong ke pio tui su tian su tiau e siu lok e tang the kiong tsit kua kian gi 
134, khit lai tsiah pong bo 
135, gua kong puah e to bu ai lah 
136, long si li tsit e tua khoo ta e ka gua senn tsit e khong kiann 
137, iu tong phing sian sinn u iu tong phing sian sinn li na bu tng leh tshue li tshiann kau te ji kui tai sio tan to sia 
138, ho 
139, to tsit khuan se thau tsui siong thian jian lai bian liang kuan tng khi tshi khuann mai 
140, a kah ma 
141, hong bun a 
142, kin lai e kue liau an tsuann 
143, tsap ji i pue a siak phua ah kam u iau kin 
144, na si tsau kang oo e kua leh to si thong koo na si khi tsiah kuah leh to si khiang koo tse si kang khuan bo kang sai hu tsuat tui m thang hu m tioh khi 
145, li kong leh 
146, tsiat hoo tsuan se kai bing pang kah tik lin khuann tsai kan lai u put li e ing hiong 
147, sim kuann a 
148, tsu hoo gua tsiah 
149, gua a put lah e ing tsit su 
150, li e hak giap khah iau kin 
151, ai ia m si lah 
152, huah tso bu hing tshoo tshu khan ting ti tai uan hian tai si te sann tsap ji ki 
153, siunn beh hoo se kai koh khah uan bi siunn beh hoo ka ting koh khah hing hok siunn beh hoo senn mia koh khah tshiong sit soo i 
154, kah hit tsam pi tsit tsun ji tsi ke luah hing hok leh 
155, in ui hue ka mng tiann tiann su iau huah le ah ti liau kue thing hoo i thiann tioh 
156, ho lin pe beh kah ui ui khi lai 
157, ti bi kok tsing tsok poo tong tng iam e si tsing tshu bin tsu tong the mia tsham suan tsong thong e 
158, ti kiat lun tsok tsiah kong e iu tiam si i tsu tiong su iong king tse kah gua kau e lik liong 
159, gua khuann be tshut lai gua sia tsok pun si to tsit tiam bo ho 
160, na e bo kuann e iann ah 
161, ah i to kau hoo li tsiau koo 
162, tsiann ping khui mng loh tshia tsin tsing tshiann tsu i tshia siunn tah gueh tai tiong m e phang m thang lak lue it phang li 
163, tso tai gi bun bun ku e hun thiah li iong gi huat tsiu kai tsin gi su tah phue e tsing khak lut 
164, ng sik phinn e ian guan tso khi lai ma bo kai khuai lok loo pinn e ke iu kui jit ing sian sian 
165, iau kiu khah ho e sia hue tsing tshik 
166, gun kiann a tshing ang e kam e sai hoo gun tshi tshing 
167, tsiong giap soo kau hioh poh ju si tong king ioh kiap kiu tshut bu ki tshu ka e huai si kia sing phann kai 
168, kak hue a li u iann tsiok sui e liong gun long tsiok kim sian tsiok kah i li liok un tong sann khui tshui ka o lo 
169, ah li me gua thoo lui si li long lioh gua e neh 
170, i tsa e too sang kai u tsun giam kah tsit ma e bo siann kang khuan 
171, u ki hue e ti lak pue te i tsing tak sing hiap i 
172, tiann tiann ah long loh khi tshan te e 
173, m bian gua hiap 
174, a peh 
175, koh sann tso e si hioh khun 
176, khi lai na e u tam poh a iu tshiu guan lai khuai lok e guan in m si tso siann mih tai tsi 
177, e khi tshap tioh lang e i su 
178, hai ang tai gi bun hak gueh khan teh tsit pah a khong ji ki 
179, li kiann loo a na e kuai kuai kam si khi uai tioh 
180, i koh sia kong tng tso phai ti tsuan se kai sit khi khuan ui kau ting iu koh kong ue u siann 
181, mai an ne lah 
182, sa bak a ti tsa tsing si siann mih khuan lang leh tsiah e 
183, i tsing li tai gi su lui tsong si tse si tua kang ting ma su iau siong se e kui ue 
184, thau ke a m thang lah 
185, li tsa khi si a pin tua khi lai khi hue 
186, a tsit nia iunn tsong tsiok sui e 
187, si e sim khah a kam e tang tshah ti sann e tshiu ki a lai bin 
188, sin bun bang tsam e phing lun ka jin ui tsin u si tai i gi 
189, siong bue hit phinn sua hi e thau tsing tsit puann si ji khong khong pat ni siah e tu tu si to tng tshut pan hit tsit pang 
190, lak bi lai hong hiong 
191, oo sui ah bai a a 
192, ping siong si khang khue tso kah puann me ni tsiah png kuan si na phue tian nau 
193, ho un lah 
194, li kam u ing thang ka gua tau siau kai tsit e mai khi siong su si e e a si to tsit sing 
195, beh iong ing bun kah lang koo thong e si tsun li iong tsia e gi su tau tshut tsit ku lan liah tso e thong e ing bun ku m koh kong ing gi e lang kho ling sa bo niau a mng 
196, pha kai e tshu hua lai tsuan ki i thann hong te tsong phoo sat pun guan king 
197, thinn khi tua kuann a thah tsit nia oo bak khah ho 
198, ti leh koo tsa si tsun pian tong long e kah tsit liap a ka tsit te tha khu ang 
199, puah piann tioh tsun pi tai sing tshing kui ki tsiam lang thiann hun bing su am bo inn tinn 
200, giap khi 
201, tng lai ah 
202, kik hua a tui khong e bok tik ki sit si po tsing i ka ti tsiang ak kok ka e khuan lik 
203, kin leh kin e a ha puah loh khi ah 
204, bian koh pian han kah ni te li tsinn to hainn gua lah 
205, ti hiah khuann e lang iah si sam sam ngoo ngoo tsng tsng 
206, gua u a tioh 
207, peh pah khong lak phinn iah gam tsioh iu huat tian kin te ui pu po 
208, tsit e ki khi lang e si iong ah sit thak tso e 
209, tshin tshiunn han lo poo hun e ong lai am kue tsu pun ing kai si tsit e su 
210, i si i tsit e tsin lau sit e sian sinn lang 
211, bo ka li phian e tshai kue poo sit tsai u kau ho iong e lah na tsun kong li u su iau e tang ui gua tsia theh kui te a tng khi lu khuann mai 
212, li ka sing ua e tiong sim khng ti to ui bo tai tsi thang tso e si li kam e khang hi tsit e lang e si 
213, tak ke tsiah tue gua lai sann lau tshut king tua thiann pan li ting ki tshiu siok thuan the hing li thok un 
214, tshiann mng e te to tsit ku e kong huat lan tai gi peh an ne kong 
215, e sai tsio tsinn ah si be 
216, bu ah li khuann leh tsiok sui tsiok koo tsui e iunn tsong le lang beh ti tsit su lah tsau gin a ki tui po le tu u lai teh 
217, sit le 
218, li tsit e ho me me 
219, a tsi lang kheh kheh khi khi 
220, hann 
221, tsit tsun hoo lan theh lai liah siu khi e tsiau a 
222, thau ke e gua na u hiah san e gua na a tshing e lue 
223, mai an ne bo tai bo tsi to ka lang phiang 
224, i kai tiap kian siau tai i sing kau kiat kim gong tong kui loh ing e po hiam kim hoo phian liau liau 
225, 
226, be e li siunn kheh khi lah 
227, tui put tsu lah gua m tsai to lo teh sit tioh li soo hue a tsiann se ji an ne ka in 
228, kin a jit e ting hun to kam e sai tshiann li the gua ka tsit kua tong tshong an lai khi in e ui a ho bo 
229, na bian siong pan to u tsinn gua sui si thau loo 
230, tu tsiah a kong hng lai u tsiah tse lang ti hiah sng phok 
231, an ne siu kai u e bo bun te poo hun kho ling u bun te 
232, au piah na bo lo ui hue kah thian tiau leh tho tik biau khu e tsiu giap hok bu tiong sim kam kak a an ne luah bu 
233, i ka te sann liap inn a ma tsiah tsiah loh khi na tsiah a koh na o lo kong ua ah gua tsu tshut si kau tann m bat tsiah kue tsiah ni phang e inn a neh 
234, li tso ho e sing kia tsit hun hoo gua khang tsit e ho bo 
235, a tsui peh a sang hoo gua sann tsap pau thng a 
236, gua hiong i suat bing hit kiann tai tsi 
237, sian se e i tsit kui kang liam mi huah kuann a liam mi huah luah kam e si tioh ma la li a 
238, ai siong sin ka ti it ting pha e tioh lam ping iu 
239, e tse a u lang kha tian ue lai kong siann mih i tsit ko gue ti tiam lai lu tse lu tshiau kue tsit tshing khoo to sang ho khang 
240, bian kin lai tsiah png lah 
241, tsiu hoo gua koh lin kui pue ah ho bo 
242, tsan sing tsia o lo i kiann bu sit loo suann m koh kiong ho tong ti kok hue ka te tse 
243, hiong hiong ngi u tsit e lang ka i io tsing sin i bak tsiu a kim khuann tioh tsit e bin tshiu ngoo tsiok bai tsa poo lang tsiann tua siann ka hua 
244, hun be put tshinn gun tsa boo kiann na u ban it khuann li beh iong siann mih lai pue gua 
245, li kam piau koh u ki thann e hong huat lai tsoo tong siu huat 
246, kiam piann tsiah kah kio 
247, i tshit tshi tsng tshng teh hau li kam long bo thiann e 
248, tak ke long kau ah lan lai khi thing tshia tiunn tsiunn tshia 
249, kiann bi kok kiann ua kho ka ti bi kok tsue kin kah kai sian kuan he e i king in khi tsit kui 
250, i khennh kui puann poo long khi e bo thau 
251, siang khi tau theh tsit ki phian tsi lai ka ting a giap hoo khui 
252, e siu lang beh sue si m 
253, li tshiu ng lik khi lai sun sua a ka li pok hui ap 
254, ah gua koh lai tsia hoo lang kheh lah 
255, gua hoo li long lue e lah 
256, khang ke a lai e king to tsit e suan hang siong tho tong 
257, li sing kiann tshut khi tan kheh ting a 
258, a lang a phah be ku e 
259, ah li tsang hng to kio gua khi be tsit kua leh au gua khi huan hu lah 
260, kuan hoh ka ki e tai tsi to ho lan bo tsai tiau kuan pat lang e ing ah pai 
261, na si a tiann tiann sing tui tshut hian m koh a au piah e tsiap pi i gua e su bi thau tsing ma kho ling e tsiah a i gua e su 
262, eh kau thong hiah ni bo hong pian 
263, kan si i tai pak hiah ni hok tsap li tshu tshu tioh ai khah se li leh 
264, iu un gian tai han ki sut hah inn tsu sin kang ting he tsoo li kau siu 
265, tshu lai khang khue tap tap tih tih tak hang long ai gua tso na tso e li a 
266, kiu khong ni tai hua bun e tsu liau khoo ma khai si ti tai uan tiong kok ting soo tsai kian lip 
267, tshiu gun lai the hit tiunn phue tsuah na thak bak sai na ti 
268, tiam tiam 
269, tsa kha e thai lu i king tit khui ah ai kha tian ue kio sai hu lai uann a 
270, kuann lai khi tian iann ng ngi 
271, in e put buan koh kah lai tsu san tsia e tsng kha e put buan hue hak tui sia hue e un ting tso sing thiau tsian 
272, tah boo si tshiu na siong sui e si tsun bong tsiong it tshe khoo tso tsit hue bo gua bo li 
273, ing am gua tsiah kah li lian loo 
274, tsiah bo huan ging lin lah 
275, eh 
276, lai lai lai than sio tsia thian sio tsiah 
277, tsit uann png ling ling 
278, thiann kong gin a lang khoo u a khah gau tua 
279, gua tsit ma tiam ti le a tsiunn peh e tshu u ing tsiah lai tse lah 
280, e a ah tsia long ka ting ting khi lai 
281, thng koh tua liap e inn a tsit liap tsit kak gin nng liap nng kak gin sann liap tsiah bian tsinn iok huah be siann khip in tsit kua a kiann loo lang e tsu i 
282, kue hai kuan tsin tsing u tsui ah si tak khuan tshiau kue tsit pah si si e ik theh long ai to tiau u la e tah to a ah si pak e ui kin phin e tshiann tsu tong tan tiau be sai tsah ti sing khu ting 
283, nng e lang hiah ni ho suah kiann kau bue bo ua kho ai tshin tshiunn suat bun phue e tsing hun na e tsiah ni po 
284, thoo kha tu jiu ho kut liu siu tioh se ji liau liau a kiann 
285, si lah gun tsai iann m tio ah lah 
286, tsit e u thiann sim e a e i koh ka in ting se sing khu tsit pai phak kah liau au thiat ut tau kau u kah tshiunn sin ne kang khuan tsing tshann a sik tsui u khah sit 
287, a lin pe ah m ho ah lah lin tsa boo kiann ui tshinn a tsang ting puah loh lai 
288, ui tioh siau loo tshi tiunn tua lat thui sak kik pun e siau hui tsu gi hoo lang tsit si a to sui tiau ti bo pit iau e khai siau 
289, tsit hang tshai lai te u tsham leh bong tioh m leh bong bi tsin kau tsin phang 
290, hau tiunn siann mih tai tsi 
291, sann tsap hue i au a to tso sian a m bian tsiah png a 
292, li sing kiann tshut khi tan ke ting a 
293, pio it ka mi kah si thau tsing sann tsap tsit pah goo pah tsit tshing sann tshing goo tshing e kiong tong su tsoo e soo liong liat tshut lai han lo kah tsuan lo hun khui sng thai tho lun tsit e su tsoo ti mi nng e thong ke pio long u tshut hian 
294, peh khi li khuann mai 
295, bo khuann kha e kue sim 
296, sun sun e 
297, li hit lo ga su kam u kuainn u ga suh bi tsau tshut lai 
298, in ui siang ti oo too bai suah tsing tioh ang moo thoo hoo a tiau tshia e tshia thau thak o tsit e tsin giam tioh 
299, kio siann mih mia a 
300, li khuann ni tsu tsik gau khinn ke tsit ma tsing hui tsiah bat tai tsi gua tui tai ta u kau tai ah lah 
301, lan sit pai kui beh pue bong 
302, bo lun lu ho li gua i king tsit tui ho tsing phua a 
303, kue lai tsit si a lah 
304, lai tse e bai tse 
305, sin lun te tshiann a kai se tsok tsia soo kong lu sing m si tshut si to tsiann tso lu sing si hong kau iok tso lu sing e tsit ku ue i ham tsap hun 
306, oo ah tsit e tua mng koh ka ting khah kuan leh 
307, ho i au na si huat sio tshiau kue nng kang tioh ai sui lai kiam tsa oo 
308, a sui kam moo a pai thok li the i tshing kah ah 
309, 
310, heh heh 
311, i tsiok kau kah lang kau pue e 
312, hun lim kuan koo khenn hiong inn huan pinn a to u tsit king sann tsap ni kiunn ah lau tiau 
313, li tioh ai khun khun hoo pa 
314, m thang tsha i 
315, un tsiunn si kan tan e peh tshoo ka suan 
316, li nng e ti hia si si si teh kong siann 
317, li siann mih si tsun beh tng khi tai pak 
318, uan sio i a sing soo i mi si hu 
319, eh ah li tsiah ka gua kai e mia ah ah lin pe kio tso tsioh a kau lah 
320, ma ma a bo peh thiann li 
321, tong sing hun hap huat hua ah koh lai khuann o tsiu 
322, a ha ah a ha a tsiunn peh ah a tsiunn peh a 
323, tshian pa lah si gun na kong khah tsa siong ai khuann e hi i 
324, tsit e ah si hit le e 
325, gua e sim 
326, li tioh ka png tsiah hoo liau 
327, li lai kau koo bio e ka ah lai 
328, a pah a mai phah ah au pai m kann a 
329, gua khuann tioh ti a 
330, koh ka lin pe e tiam leh kong 
331, suann ting long tah bu peh bong bong siann mih long khuann bo 
332, he thai e sai gua io be tsiah tioh neh u lang bo huann hi leh tua siann huah 
333, ke lang bio khau e thian pu lah a siong u mia 
334, ho a i iann i king tsiah liau ah kin a jit to kau tsia ui tsi lok han tsing li an ne ka tak ke kong 
335, li iong i e kua siann kah hian a e bi ngiau e suan lut ka ping an ham hing hok thuan tat tshut khi 
336, si tsap si phinn sin ho lam jin bo beh tau se uann tsi it ma ma e kam tong 
337, tsit siang bue a 
338, piau tat ka ti e tsu tiunn tshu bi ah si kong tsit kua a tshio khue e 
339, in ta e tian hue e long ma e loh i ti e ke tsiann kng a 
340, tioh ai pe bu tsu hun ai u jin ke lang kai siau tui hong tsa poo ah m tsai hi a hoo luan luan kau 
341, a bu gua iau m si sann hue gin a na e be hong si m 
342, tsiok tse lang leh ioh a lak a e ti siann mih si tsun toh tann a 
343, gua e sing khuann ah lah 
344, o tsiu kok hue bat ti ji khong it ji ni piau kuat tong sing hun hap huat hua e gi te tsan sing phai su ka thng khoo 
345, lai e tshiunn kua a 
346, gua thai e li soo i tsiah tsiah ni tshong pong 
